Protein IDs	Gene names	Peptides	Intensity
P00054	Gene37	5	545065994.9195352
P00055	Gene38	15	49330810.55424453
P00056	Gene39	17	992338384.7045329
P00057	Gene40	16	1489295539.3750188
P00058	Gene41	9	4232685448.4216933
P00059	Gene42	15	3992183271.6341677
P00060	Gene43	9	30850430.538513247
P00061	Gene44	17	74354140.61469717
P00062	Gene45	14	1359075511.2660549
P00063	Gene46	19	1355683919.8323593
P00064	Gene47	16	1359109268.6675532
P00065	Gene48	14	1077282714281.5441
P00066	Gene49	10	1519703400.3059578
P00067	Gene50	16	4701424008.764172
P00068	Gene51	14	3269829000.2490654
P00069	Gene52	2	1785175385.6396604
P00070	Gene53	8	258255899.72544125
P00071	Gene54	10	2213716116.43626
P00072	Gene55	2	103424203.69397596
P00073	Gene56	13	302128441.0819701
P00074	Gene57	9	183784218.95811784
P00075	Gene58	12	571484705.477918
P00076	Gene59	18	49702304309.32894
P00077	Gene60	9	11587872.26554412
P00078	Gene61	4	1914113409.3370888
P00079	Gene62	4	19279795.83502017
P00080	Gene63	2	188788192.20279577
P00081	Gene64	6	4282921443.455274
P00082	Gene65	11	551724860.1335529
P00083	Gene66	8	56204672.05958352
P00084	Gene67	10	116033857.49961075
P00085	Gene68	8	1888777247.904906
P00086	Gene69	10	112590368.93398659
P00087	Gene70	9	748002725.1374135
P00088	Gene71	13	531462755.9435785
P00089	Gene72	3	131800411.84344293
P00090	Gene73	2	35326109686.37539
P00091	Gene74	17	1723870765.9565878
P00092	Gene75	6	8450319.647165248
P00093	Gene76	4	704436414.8657867
P00094	Gene77	13	129142508.60768826
P00095	Gene78	9	2668725006.342532
P00096	Gene79	4	99429411.99045114
P00097	Gene80	2	385683297.1941728
P00098	Gene81	4	1332036162.8207653
P00099	Gene82	6	2740785481.489451
P00100	Gene83	16	43987109.62483101
P00101	Gene84	15	248510965.2589791
P00102	Gene85	4	187653808.23265898
P00103	Gene86	2	131345463.34874606
P00104	Gene87	6	16570808837.518429
P00105	Gene88	15	1090566826.0510194
P00106	Gene89	8	38967249.36124471
P00107	Gene90	10	3041826195.2031755
P00108	Gene91	16	33819804304.802925
P00109	Gene92	16	3825406301.13363
P00110	Gene93	11	23237085.378848735
P00111	Gene94	14	184199847.5712508
P00112	Gene95	8	6113848606.750792
P00113	Gene96	18	117819113.37303492
P00114	Gene97	5	1178653893.8066266
P00115	Gene98	6	2284168972.272697
P00116	Gene99	8	75992032.47075607
P00117	Gene100	14	430711602.28915286
P00118	Gene101	16	742267.7602032847
P00119	Gene102	12	62534234.53665501
P00120	Gene103	5	292759993.71045566
P00121	Gene104	14	40001744.997745305
P00122	Gene105	8	12699425686.630428
P00123	Gene106	3	27776954.056336712
P00124	Gene107	11	201220328.34660774
P00125	Gene108	14	630158009.4618279
P00126	Gene109	7	8664903108.669865
P00127	Gene110	13	27460953.958764505
P00128	Gene111	13	4968220200.214119
P00129	Gene112	12	495196950.9166623
P00130	Gene113	8	68133712.85602422
P00131	Gene114	2	1222552775.5023177
P00132	Gene115	2	722421550.2935467
P00133	Gene116	14	146065578.36083508
P00134	Gene117	10	557851954.1389058
P00135	Gene118	4	224496978.50399485
P00136	Gene119	8	608820898.0218365
P00137	Gene120	7	1823933644.8960128
P00138	Gene121	9	11574076298.28919
P00139	Gene122	10	40807196.24381079
P00140	Gene123	6	34563593335.74351
P00141	Gene124	2	9779749.233687248
P00142	Gene125	11	358138309.7822949
P00143	Gene126	13	1573604072.3719656
P00144	Gene127	16	851051954.2273456
P00145	Gene128	10	139643172.6788632
P00146	Gene129	18	319975663.4942305
P00147	Gene130	18	180998288.01095107
P00148	Gene131	13	149270474.90358192
P00149	Gene132	8	2653656120.106899
P00150	Gene133	3	990807645.389686
P00151	Gene134	4	121348946.60670055
P00152	Gene135	18	2932730539.8500333
P00153	Gene136	6	897029262.1692327
P00154	Gene137	18	2465657239.932821
P00155	Gene138	18	1709142609.6392052
P00156	Gene139	18	92434420.00798278
P00157	Gene140	3	158242293.5103718
P00158	Gene141	3	2162621997.5834403
P00159	Gene142	6	1644562997.5179675
P00160	Gene143	2	465301812.4665321
P00161	Gene144	2	613477880.350945
P00162	Gene145	3	6246766404.792967
P00163	Gene146	13	148613156.44952402
P00164	Gene147	7	1449080076.9304574
P00165	Gene148	5	323792907.5379991
P00166	Gene149	12	313916502.70089096
P00167	Gene150	18	4367924122.319921
P00168	Gene151	7	2528349860.8426
P00169	Gene152	6	2468852419.175001
P00170	Gene153	3	6604107324.48612
P00171	Gene154	7	505979991.138589
P00172	Gene155	12	1897695216.0290463
P00173	Gene156	17	260852712.69248527
P00174	Gene157	17	927805524.7824391
P00175	Gene158	2	373980378.9360043
P00176	Gene159	10	589032506.8466718
P00177	Gene160	7	1595278316.195797
P00178	Gene161	17	94447873.16307493
P00179	Gene162	4	31865015475.503983
P00180	Gene163	5	64874502.9004781
P00181	Gene164	4	42781775.95470298
P00182	Gene165	8	4918265413.2269335
P00183	Gene166	10	2363301426.430071
P00184	Gene167	2	1690414554.1331263
P00185	Gene168	9	1704761437.484885
P00186	Gene169	8	473426132.05186534
P00187	Gene170	19	80638862.55993667
P00188	Gene171	9	564589296.755552
P00189	Gene172	2	125231749.78032976
P00190	Gene173	12	3410891281.062395
P00191	Gene174	19	361540720.7251915
P00192	Gene175	11	93083323.94769499
P00193	Gene176	4	255115850.76918864
P00194	Gene177	8	1108044856.3819172
P00195	Gene178	17	157124790.94805476
P00196	Gene179	17	93695358.37237051
P00197	Gene180	18	789866437.7429014
P00198	Gene181	3	791890072.0410789
P00199	Gene182	2	176020962.1891694
